England
2
0
0
0
0
0
1
0
0
4
1
0
1
0
0
0
0
0
0
0
0
0
1
0
1
2
5
4
7
11
5
20
39
53
49
47
73
54
50
124
226
353
415
393
314
398
546
679
909
930
1085
1035
1210
2016
2024
2267
2617
2657
2376
2440
3525
3788
4102
4068
4106
3384
3085
4389
4582
4292
4062
3583
3080
2946
3442
3558
4224
4368
4073
4118
3472
3690
3973
4799
4561
4365
3377
3133
4035
4126
4745
4312
4092
2748
2629
2840
3143
3266
3200
2617
1794
2005
3068
2925
2881
2210
2132
1770
1589
2217
2583
2351
2275
1797
1300
1199
1381
1459
1613
1569
1371
1000
984
1312
1356
1242
1143
1022
722
665
988
1055
1082
918
934
787
746
939
991
912
943
810
627
552
815
729
727
637
644
503
411
667
571
605
561
539
385
539
657
557
673
681
518
420
351
689
649
723
639
547
467
413
753
691
750
733
714
492
515
809
782
973
857
624
493
513
940
920
942
979
